id,xP
301,0.0
302,0.0
303,0.0
304,2.3
305,3.0
306,0.7
307,0.0
308,0.3
309,2.0
310,0.0
311,0.0
312,0.0
313,2.7
314,0.0
315,2.7
316,4.0
317,0.0
318,0.0
319,0.0
320,2.0
321,0.3
322,0.0
323,1.0
324,0.0
554,0.0
562,2.0
564,2.0
571,0.0
591,3.7
592,1.0
602,0.0
619,2.5
640,1.8
260,1.3
326,0.0
327,4.0
329,0.0
330,7.3
331,0.7
332,5.3
333,0.0
334,4.7
335,6.3
336,2.0
337,1.7
338,3.0
339,0.3
341,0.0
342,0.0
343,0.3
344,0.0
345,2.0
346,3.3
347,1.7
348,0.0
349,0.0
385,5.0
598,1.7
603,0.0
604,0.0
625,0.0
629,1.0
641,1.8
648,1.5
350,3.3
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,3.0
357,0.3
358,2.0
359,0.0
360,0.0
361,0.0
362,3.0
363,0.0
364,0.3
365,0.0
366,3.0
367,9.3
368,5.0
369,1.0
370,0.0
371,2.3
372,1.7
373,0.0
374,0.0
375,0.7
376,0.0
377,4.3
378,0.0
379,7.7
380,0.0
381,0.7
382,0.0
383,0.0
579,3.0
627,2.8
155,1.3
237,5.3
384,3.3
386,0.0
387,1.3
388,6.7
389,0.3
390,3.3
391,7.3
392,0.0
393,3.0
394,0.0
395,0.3
396,0.3
397,4.3
398,3.7
399,8.3
400,0.0
402,0.0
404,0.0
406,0.7
407,0.0
408,0.0
409,0.0
410,0.0
411,8.0
481,2.7
587,0.0
616,1.0
621,1.0
622,0.5
628,2.2
653,1.0
43,2.7
131,0.0
162,1.3
325,0.0
412,1.7
413,0.0
414,0.0
415,0.7
416,0.0
417,1.3
418,2.3
419,1.3
420,0.7
421,0.3
422,1.0
423,2.3
424,0.0
425,0.0
426,9.0
427,7.0
428,4.7
429,2.0
430,0.0
431,0.0
432,4.7
433,0.0
434,0.0
435,0.3
436,0.0
437,0.0
438,0.0
439,2.3
440,0.0
441,0.0
405,1.3
442,0.0
443,0.0
444,0.0
445,2.7
446,0.3
447,3.0
448,0.0
449,6.0
450,0.0
451,0.0
453,5.7
454,6.0
456,2.3
457,0.7
458,0.0
459,2.7
460,3.7
461,0.3
462,1.0
463,0.0
464,4.3
465,0.0
466,0.0
559,0.3
567,3.3
593,4.3
609,0.0
634,2.1
167,1.0
201,0.3
467,3.0
468,0.0
469,5.0
470,0.0
471,4.0
472,4.3
473,2.0
474,3.3
475,0.0
476,0.0
477,0.0
478,0.7
479,0.0
480,6.0
482,0.3
483,4.3
484,0.0
485,0.0
486,2.3
487,0.3
488,0.7
489,0.0
490,0.7
491,1.3
493,0.3
558,2.7
581,0.3
590,0.0
112,3.3
147,0.0
401,1.3
403,1.0
455,3.0
494,0.0
495,0.0
496,3.0
497,0.0
498,1.0
499,2.7
500,0.0
502,2.0
503,3.0
505,0.0
506,2.3
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.7
513,0.0
514,2.3
515,0.2
516,2.7
517,0.0
518,0.0
519,1.0
520,0.3
521,0.0
522,1.3
523,0.0
524,0.0
525,1.0
526,1.0
527,0.0
528,0.0
578,0.3
601,0.0
501,0.7
529,3.0
530,0.0
531,0.0
532,4.0
533,4.3
534,3.0
535,0.3
536,3.0
537,0.0
538,0.0
539,0.3
540,0.0
541,3.0
542,4.3
543,0.0
544,6.0
545,2.0
546,0.0
547,0.3
548,0.7
549,0.3
550,0.0
551,3.3
552,2.0
553,4.3
612,0.0
613,0.0
646,2.0
651,1.0
