id,xP
42,0.5
153,0.2
198,1.2
199,0.5
202,1.5
203,0.5
204,4.2
205,0.0
206,0.0
207,0.5
208,0.0
210,2.5
211,3.0
212,0.5
213,0.2
214,4.5
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,3.0
223,0.0
224,1.8
225,0.0
241,0.8
555,0.0
577,0.5
588,3.2
595,0.5
633,1.5
643,4.0
644,3.0
647,0.5
21,0.0
209,1.5
226,4.2
227,0.0
228,0.0
229,7.2
230,4.8
231,0.0
232,0.2
233,5.5
234,0.0
235,0.0
236,4.2
238,0.8
239,2.0
242,4.5
243,0.2
244,3.5
245,0.0
246,1.5
247,2.2
248,0.0
249,3.5
649,6.5
654,0.0
250,3.8
251,0.0
252,0.0
253,0.5
254,2.5
255,0.8
256,0.0
257,2.2
258,4.8
261,2.2
262,0.8
263,0.8
264,2.5
265,2.0
266,0.0
268,5.5
269,0.8
270,0.0
271,0.8
272,0.0
569,3.0
570,2.8
580,2.2
610,0.0
626,0.0
635,1.0
636,0.0
650,4.0
240,0.2
273,0.0
274,0.0
275,0.0
276,0.0
277,6.2
278,0.0
279,6.5
280,3.2
281,0.0
282,6.0
283,0.0
284,0.0
285,0.2
286,6.8
287,0.0
288,0.0
289,0.8
290,3.2
291,0.0
292,0.0
293,0.0
294,0.0
295,3.0
296,0.0
297,0.0
298,0.0
299,0.0
340,0.0
556,0.2
563,0.0
572,7.0
574,0.2
576,1.8
585,1.0
586,6.2
589,0.8
617,1.0
632,0.0
637,0.5
638,0.5
642,1.0
645,0.0
259,2.0
267,2.2
300,0.0
301,0.0
302,0.0
303,0.0
304,2.0
305,5.8
306,0.8
307,0.0
308,0.2
309,1.5
310,0.0
311,0.0
312,0.0
313,2.2
314,0.0
315,2.2
316,6.0
317,0.0
318,0.2
319,0.0
320,1.5
321,0.2
322,0.0
323,0.8
324,0.0
554,0.0
562,1.8
564,1.8
571,0.2
591,3.2
592,1.0
602,0.0
619,3.0
640,3.0
260,1.2
326,0.0
327,3.0
329,0.0
330,9.2
331,2.0
332,4.5
333,0.0
334,5.2
335,5.5
336,3.8
337,1.5
338,4.0
339,0.5
341,0.0
342,0.0
343,0.5
344,0.0
345,3.0
346,5.0
347,1.5
348,0.0
349,0.0
385,4.5
598,1.8
603,0.0
604,0.0
625,0.0
629,0.0
641,0.5
648,0.0
350,4.8
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,4.2
357,0.5
358,1.8
359,0.0
360,0.0
361,0.0
362,4.5
363,0.0
364,0.5
365,0.0
366,3.0
367,5.4
368,4.5
369,1.0
370,0.0
371,2.0
372,1.5
373,0.0
374,0.0
375,0.5
376,0.0
377,3.5
378,0.0
379,6.2
380,0.0
381,0.5
382,0.0
383,0.0
579,3.8
627,2.0
155,1.5
237,4.2
384,4.2
386,0.0
387,1.2
388,6.5
389,2.5
390,4.0
391,8.2
392,0.0
393,2.2
394,0.0
395,0.2
396,0.2
397,4.0
398,2.2
399,6.5
400,0.0
402,0.0
404,0.0
406,0.5
407,0.0
408,0.0
409,0.0
410,0.0
411,8.2
481,3.2
587,0.0
616,0.7
621,0.7
622,0.3
628,0.0
653,0.0
43,2.5
131,0.0
162,1.0
325,0.0
412,1.8
413,0.0
414,0.0
415,1.5
416,0.0
417,1.5
418,2.0
419,1.5
420,0.5
421,0.2
422,0.8
423,1.4
424,0.0
425,0.0
426,7.2
427,5.8
428,4.0
429,2.0
430,0.0
431,0.0
432,4.5
433,0.0
434,0.0
435,0.2
436,0.0
437,0.0
438,0.0
439,2.0
440,0.2
441,0.0
405,1.2
442,0.0
443,0.0
444,0.0
445,2.5
446,0.2
447,2.8
448,0.0
449,4.5
450,1.0
451,0.0
453,4.8
454,4.5
456,1.8
457,0.5
458,0.0
459,2.0
460,3.0
461,1.8
462,1.2
463,0.0
464,3.8
465,0.0
466,0.0
559,0.5
567,2.8
593,2.4
609,0.0
634,1.0
659,1.1
167,2.0
201,0.8
467,3.0
468,0.0
469,4.2
470,0.0
471,3.0
472,4.8
473,2.0
474,2.5
475,0.0
476,0.0
477,0.0
478,0.5
479,0.0
480,6.5
482,0.2
483,3.5
484,0.0
485,0.0
486,2.5
487,0.2
488,0.8
489,0.0
490,0.8
491,2.8
493,0.2
558,2.8
581,1.2
590,0.0
112,4.5
147,0.2
401,1.5
403,1.5
455,3.0
494,0.0
495,0.0
496,4.0
497,0.0
498,0.8
499,1.5
500,0.0
502,3.2
503,3.8
505,0.0
506,1.4
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.8
513,0.0
514,2.0
515,0.5
516,2.8
517,0.0
518,0.0
519,0.8
520,0.5
521,0.0
522,1.8
523,0.0
524,0.0
525,1.5
526,1.2
527,0.0
528,0.0
578,0.0
601,0.0
501,0.8
529,2.8
530,0.0
531,0.0
532,3.0
533,3.2
534,2.2
535,0.2
536,1.8
537,0.0
538,0.0
539,0.2
540,0.0
541,2.8
542,3.2
543,0.0
544,4.8
545,2.0
546,0.0
547,0.0
548,0.5
549,0.2
550,0.0
551,3.0
552,1.8
553,3.5
612,0.0
613,0.0
646,1.0
651,0.0
